Species,SVL,TL,SE,FLL,HLL,Fingers,Toes
Agamodon anguliceps,74.7,8.3,3.1,0,0,0,0
Amphisbaena alba,474,40.1,12.6,0,0,0,0
Bipes biporus,167.2,16,3.6,6.1,0,5,0
Bipes caniculatus,182.5,29.6,4.5,6.5,0,4,0
Bipes tridactylus,127.5,36,3.7,6,0,3,0
Blanus cinereus,174.9,21.8,4.1,0,0,0,0
Chirindia swimmertoni,126,14.5,2,0,0,0,0
Diplometopon zarudnyi,148.7,12.3,4.3,0,0,0,0
Geocalamus acutus,230.7,26.3,4.5,0,0,0,0
Monopeltis capensis,298.7,9.3,4.5,0,0,0,0
Rhineura floridana,317.2,16.5,5.4,0,0,0,0
Trogonophis wiegmanni,157.5,10.9,5.7,0,0,0,0
Abronia graminea,96.2,144,13.1,22.9,30.5,5,5
Anguis fragilis,142.3,148.1,6.7,0,0,0,0
Anniella geronimensis,118.5,51.9,4.3,0,0,0,0
Anniella pulchra,137.9,62.9,5,0,0,0,0
Barisia imbricata,110.3,139.4,13.8,22,28,5,5
Celestus enneagrammus,72.6,99.2,7.3,11,16.1,5,5
Diploglossus bilobatus,70.3,97,7.5,10.7,16.2,5,5
Diploglossus pleei,87.2,97.6,7.8,9.6,15.3,5,5
Elgaria coerulea,86.5,149.3,11.4,19.8,27.3,5,5
Elgaria kingii,79.6,165.1,9.3,14.2,19.1,5,5
Elgaria multicarinata,110.4,204.5,13.5,25.5,32,5,5
Elgaria panamintina,109.9,192.7,13.2,24.6,31.1,5,5
Elgaria paucicarinata,87.6,132.5,11,16.2,23.3,5,5
Gerrhonotus liocephalus,131.7,238.8,15.4,24,28.4,5,5
Mesaspis moreleti,66.8,103.8,8.2,15.1,19,5,5
Ophiodes striatus,184.2,311.2,9.7,0,8,0,1
Ophisaurus apodus,321.2,534.2,21,0,2.8,0,1
Ophisaurus attenuatus,200.2,508.7,13.2,0,0,0,0
Ophisaurus harti,205.2,317.5,11,0,0,0,0
Ophisaurus koellikeri,183.3,333,12,0,4.4,0,1
Ophisaurus ventralis,212.7,419.6,13.8,0,0,0,0
Sauresia agasepsoides,60,61,4,3.4,6.8,4,4
Wetmorena haetiana,68.7,72,6.2,6.9,11.1,4,4
Chamaesaura anguina,121.6,444.7,9.3,3.9,7.2,1,1
Cordylus cataphractus,89,86.1,15.1,29.8,39.4,5,5
Cordylus cordylus,82.4,87.8,13.1,26.8,39.1,5,5
Cordylus jordani,93.6,114.2,14.7,32.9,46,5,5
Cordylus warreni,108.6,127.3,17.5,34.1,50.3,5,5
Platysaurus rhodiseinsis,97.3,141.6,14.7,37.3,51.4,5,5
Pseudocordylus microlepidotus,122.4,159.2,20.3,40.3,57.2,5,5
Dibamus novaeguineae,128.3,16.4,2.6,0,1.1,0,0.4
Coleonyx elegans,76.9,75.5,12.9,24.7,31,5,5
Diplodactylus damaeus,50.4,44.1,8.6,14.2,20.6,5,5
Gekko gecko,146.2,132.5,25.7,37.1,44.3,5,5
Gonatodes albogularis,39.2,47.8,6.8,12.1,17,5,5
Oedura coggeri,71.3,43.8,11.9,17.1,21.1,5,5
Teratoscincus scincus,96.7,57.1,17.4,32.8,44.5,5,5
Angolosaurus skoogi,132.4,119.3,17.1,38,53.8,5,5
Cordylosaurus trivittata,41,75.4,5,9.4,14.8,5,5
Gerrhosaurus major,210.3,271.3,27.5,51.1,71,5,5
Gerrhosaurus nigrolineatus,96.8,241.3,14.2,22.9,43.5,5,5
Tetradactylus africanus,86.3,268.2,7.7,1.3,3.9,1,1
Tetradactylus seps,51.6,94.2,6,9.3,17,5,5
Tetradactylus tetradactylus,66.2,194.2,5.8,6.1,7.5,4,4
Tracheloptychus madagascariensis,55.4,103.8,9.2,17.8,38.6,5,5
Zonosaurus ornatus,121.5,163.2,16.6,25.9,47.9,5,5
Alopoglossus atriventris,45.4,68.6,7.2,13.8,21.1,5,5
Alopoglossus carinicaudatus,54.9,93,7.8,14.3,22.2,5,5
Alopoglossus copii,51.6,88.6,7.6,14.9,25.5,5,5
Arthrosaura kockii,48.5,81.7,7.6,14.5,22.9,5,5
Arthrosaura reticulata,59.1,98.2,7.8,15.1,25.3,5,5
Bachia bresslaui,98.6,142,6.1,2.7,3,1,1
Bachia dorbignyi,63.2,95.2,3.4,2.2,0.8,3,1
Bachia flavescens,65.8,88.4,3.9,1.9,1.8,1,1
Calyptommatus leiolepis,53.3,38,3.3,0,3.3,0,1
Calyptommatus nicterus,60.7,44.5,3.4,0,3.2,0,1
Calyptommatus sinebrachiatus,57.5,41.4,3.4,0,2.8,0,1
Cercosaura argulus,42.1,89.6,7.2,14.1,18.7,5,5
Cercosaura eigenmanni,40.8,51.9,6.7,13.1,17.9,5,5
Cercosaura ocellata,48.7,129.9,7.3,16.6,23.9,5,5
Cercosaura quadrilineata,39.9,89.9,5.1,10.6,13.9,5,5
Cercosaura schreibersii,39.8,86.2,5.3,10.7,13.9,5,5
Colobodactylus dalcyanus,38.5,74.5,4.4,7.6,11.1,4,5
Colobodactylus taunayi,51.8,123.1,5.9,9.7,17.5,4.8,5
Colobosaura modesta,45.4,103.8,5.5,9.1,16.5,5,5
Ecpleopus affinis,48.4,87.3,6.1,13.3,20.1,5,5
Gymnophthalmus leucomystax,36.4,61.2,4,8.1,9.6,4,5
Heterodactylus imbricatus,87.6,189.1,7.9,11.5,22.6,4.8,5
Iphisa elegans,54.7,113,6.3,9.6,16.6,5,5
Leposoma percarinatum,34.7,56,4.9,10,12.6,5,5
Micrablepharus maximiliani,39.2,66.7,5,9.8,15,4,5
Neusticurus ecpleopus,59.7,93.6,8.4,17.2,27.1,5,5
Neusticurus rudis,72.5,124.5,11.5,22.6,34.7,5,5
Nothobachia ablephara,52.4,52,3.3,1.1,5.5,1,2
Pholidobolus montium,50.9,80.2,6.4,14.3,22.2,5,5
Placosoma glabellum,53.1,125.1,7.4,14.7,19.9,5,5
Procellosaurinus erythrocercus,27.5,42.4,3.3,5.8,9.8,4,5
Procellosaurinus tetradactylus,26,38.2,3.1,5.3,9.4,4,5
Proctoporus bolivianus,57,85.5,6.7,13.3,19.4,5,5
Proctoporus simoterus,64.5,58,6.8,12,15.5,5,5
Psilophthalmus paeminosus,32,43.2,3.2,4,7.5,4,5
Ptychoglossus brevifrontalis,51.9,84.8,6.4,10.4,18.5,5,5
Rhachisaurus brachylepis,60.1,134,4.9,5.7,10.4,4,4
Tretioscincus agilis,60.3,85,8.5,17.2,26.4,5,5
Vanzosaura rubricauda,29.6,39,3.4,5.4,9.9,4,5
Heloderma suspectum,300.3,124.3,29.3,75.2,82.1,5,5
Basiliscus basiliscus,163.9,454.3,30.2,64.9,138.9,5,5
Calotes versicolor,83.5,257.2,14.1,39.6,61.9,5,5
Dipsosaurus dorsalis,123.1,226.6,16.2,41.6,79.7,5,5
Enyaloides laticeps,112.1,192.3,22,53.3,89.4,5,5
Gambelia wislizenii,100.2,193.7,17,36.6,69.6,5,5
Leiocephalus carinatus,108.1,154.6,17.1,38.3,65.2,5,5
Leiolepis belliana,120.9,255.3,16.8,38.7,72.6,5,5
Phrynocephalus versicolor,52.4,58.4,8.3,22,36.6,5,5
Polychrus marmoratus,129.3,321.3,19.4,42.2,54,5,5
Urosaurus ornatus,48.9,71.8,7.7,17.2,26.5,5,5
Meroles cuneirostris,50.9,81.2,10.2,17.9,38.1,5,5
Podarcis sicula,71.4,115.7,9.9,19.5,32.1,5,5
Psammodromus hispanicus,37.5,61.4,6.5,12.8,21.4,5,5
Takydromus smaragdinus,48.2,151.3,7.7,17.2,23.8,5,5
Lanthanotus borneensis,169,188.6,13.3,26.1,33,5,5
Aprasia pseudopulchella,140.1,84.1,3,0,0,0,0
Aprasia pulchella,97.8,72.7,2.7,0,0.2,0,0.3
Aprasia repens,96.4,46.1,2.6,0,0.2,0,0.4
Aprasia striolata,91.8,58.8,2.9,0,0.4,0,1
Delma australis,70,148,4.2,0,2.6,0,1
Delma borea,67.8,183.5,4.6,0,2.5,0,1
Delma fraseri,90.4,281.6,6.2,0,3.5,0,1
Delma grayi,84.8,330,6.2,0,5,0,1
Delma impar,95.9,175.1,5.8,0,2.9,0,1
Delma inornata,91.8,219.6,6.3,0,5.2,0,1
Delma molleri,68.8,188.2,5.1,0,3,0,1
Delma nasuta,96.4,350,7.4,0,5,0,1
Delma tincta,72.5,202.9,4.7,0,2.1,0,1
Lialis burtoni,210.3,241.9,12.6,0,0.5,0,0.4
Lialis jicari,249.8,366.8,13.7,0,0.8,0,0.4
Pletholax gracilis,60.4,211,3.8,0,1.2,0,1
Pygopus lepidopus,146.3,288.2,8.6,0,8.5,0,1
Pygopus nigriceps,150.9,320.1,7.6,0,6.1,0,1
Acontias litoralis,114,27.4,3.6,0,0,0,0
Acontias meleagris,197.9,40.6,6,0,0,0,0
Acontias percivali,207,31.2,7.1,0,0,0,0
Acontophiops lineatus,166.9,33,5.3,0,0,0,0
Amphiglossus astrolabi,190.5,273.3,17.9,32.6,44.7,5,5
Amphiglossus igneocaudatus,52.8,56.7,5.3,7,16.4,5,5
Amphiglossus intermedius,68,63.1,5.3,9.3,18.3,5,5
Amphiglossus macrocercus,68.7,116.9,7.7,15.1,22.7,5,5
Amphiglossus melanopleura,43.7,72.3,4.5,7.4,13.3,5,5
Amphiglossus melanurus,65.2,109,5.7,9,14.9,5,5
Amphiglossus mouroundavae,57.9,88.7,6.1,13.2,19.4,5,5
Amphiglossus ornaticeps,55,76.2,4.1,4.3,7.8,5,5
Amphiglossus punctatus,60.7,89.1,6.6,13.2,19.4,5,5
Amphiglossus stumpffi,86.9,87.8,6.3,12.7,21.6,5,5
Amphiglossus tsaratananensis,84.1,105.4,7.5,11.9,17.8,5,5
Amphiglossus waterloti,121,181.3,13.1,23.7,31.4,5,5
Anomalopus mackayi,107,113,5.8,7.5,6,2,1
Anomalopus swansoni,90.44,69.78,4.3,0,0,0,0
Brachymeles gracilis,75,75.2,6.2,8.3,13.8,5,5
Brachymeles talinis,108.4,104.5,8.5,12.5,20.9,5,5
Calyptotis scutirostrum,43.6,59.2,4.72,8,11.2,5,5
Chalcides chalcides,136,151.1,7.5,5.6,8.3,3,3
Chalcides mionecton,86.8,67.2,6.5,6.5,15.1,4,4
Chalcides ocellatus,119.5,121.9,11.4,22.2,30.3,5,5
Chalcides polylepis,109.3,130.3,10.3,21.2,29,5,5
Coeranoscincus reticulatus,181,210.5,8.55,11,11.5,3,3
Ctenotus leonhardii,73.2,141.8,9.28,22.6,37,5,5
Ctenotus pantherinus,87,115,9.5,24,33,5,5
Ctenotus robustus,83,167.38,10.81,23,36.5,5,5
Egernia whitii,79.86,124.14,11.09,21.57,30,5,5
Eremiascincus richardsonii,91.25,121,12.03,24.25,31,5,5
Eugongylus rufescens,118.57,188.71,12.63,26.71,35.86,5,5
Eulamprus amplus,98,129.75,13.72,29.5,42.25,5,5
Eulamprus murrayi,87.5,117.75,11.78,24,33.5,5,5
Eulamprus quoyii,82.6,132.8,12.2,24.2,37.2,5,5
Eumeces schneideri,126.5,205.3,14.2,33,46.9,5,5
Feylinia polylepis,130.6,49.9,4.7,0,0,0,0
Glaphyromorphus gracilipes,70.33,111.67,6.03,10,15.33,5,5
Glaphyromorphus isolepis,56.73,86.27,7.04,13.36,19.82,5,5
Gnypetoscincus queenslandiae,60,76,8.23,17.57,26.14,5,5
Gongylomorphus bojeri,47,66.9,6.6,12.2,19.9,5,5
Hakaria simonyi,45.3,49.3,3.8,5,9.4,5,5
Hemiergis peroni,49.5,81.5,4.58,8,11.5,4,4
Janetaescincus braueri,52.8,61.5,5.3,8,12.4,5,5
Lamprolepis smaragdina,85,121.5,14.28,31.25,38.5,5,5
Lerista bipes,48,39,3.1,0,8,0,2
Lerista bougainvillii,52.67,53.33,4.67,7.83,12.83,5,5
Melanoseps occidentalis,120.5,39,4,0,0,0,0
Mesoscincus managuae,86.2,140.5,9.2,17.9,24,5,5
Mesoscincus schwartzei,108.1,174.4,12.4,27.1,37,5,5
Morethia butleri,44.71,62.43,5.53,11.43,18.29,5,5
Nangura spinosa,91.2,77.4,13.9,27.8,35.6,5,5
Notoscincus ornatus,36.14,52.57,4.67,9.86,14.57,5,5
Ophiomorus punctatissimus,74.8,81.8,3.9,0,0,0,0
Ophioscincus ophioscincus,92.25,76.5,4.2,0,0,0,0
Pamelaescincus gardineri,63.6,73.7,8.1,13.2,18.8,5,5
Paracontias brocchii,118.2,81.9,5.5,0,0,0,0
Paracontias hildebrandti,47.2,44.1,2.3,0,0,0,0
Paracontias holomelas,115.9,87.1,6.4,0,0,0,0
Plestiodon egregius,47,81.4,4.9,8.8,13.3,5,5
Plestiodon elegans,84.3,151.9,11,24.5,34.2,5,5
Plestiodon fasciatus,66.7,112.8,9,19.5,27.1,5,5
Plestiodon inexpectatus,71.6,118.9,9.6,20.8,29.3,5,5
Plestiodon laticeps,109.7,167,15.7,33.9,46.5,5,5
Plestiodon longirostris,66.1,101.5,10,21.8,31.8,5,5
Plestiodon lynxe,58.7,82.8,6.7,13.6,18.8,5,5
Plestiodon obsoletus,105.7,161.2,12.7,27.7,34.8,5,5
Plestiodon reynoldsi,54,57.5,4.2,2,6.6,1.1,2
Prasinohaema virens,51,68.75,9.15,19,21.25,5,5
Proscelotes eggeli,87,110.3,6.3,8.4,12.5,5,5
Pygomeles braconnieri,139.1,88.2,7.4,0,3.5,0,1
Saiphos equalis,68,79.5,4.65,6,7.5,3,3
Scelotes anguineus,56.5,52.8,3.6,0,0,0,0
Scelotes arenicolus,68.8,59,3.8,0,0,0,0
Scelotes bipes,47.9,39,3,0,3.1,0,2
Scelotes caffer,46.7,59.5,2.8,2.8,8.5,3,3
Scelotes gronovii,67.4,57.5,3.8,0,3.1,0,1
Scelotes kasneri,64.8,54.9,4.4,0,6.6,0,2
Scelotes mirus,75.3,88.5,4.7,5.9,11.5,5,5
Scelotes sexlineatus,75.7,71.3,4.5,0,8.9,0,2
Scincopus fasciatus,150.5,95.3,21.9,43.9,47.7,5,5
Scincus scincus,117.2,77.6,16.6,31.6,37.7,5,5
Sepsina angolensis,71.1,63.7,4.1,2.4,7.4,3,3
Sphenops boulengeri,83.9,67.9,6.3,7.5,17.7,4.8,5
Sphenops sphenopsiformis,98.3,49.8,6.9,4.4,15.8,2,4
Tiliqua adelaidensis,88.55,55.18,11.84,17.91,18.27,5,5
Tribolonotus gracilis,70,73.5,12.2,24.5,33,5,5
Typhlacontias brevipes,94.5,35.7,4.2,0,0,0,0
Typhlacontias punctatissimus,65.6,36.3,2.8,0,0,0,0
Typhlosaurus caecus,190.1,29.4,4.1,0,0,0,0
Typhlosaurus lineatus,141.1,22.7,4.3,0,0,0,0
Voeltzkowia fierinensis,57.4,59.9,3,0,3.6,0,2
Voeltzkowia lineata,64.6,54.7,3.1,0,0,0,0
Acrochordus granulatus,675.9,82.4,9.4,0,0,0,0
Agkistrodon contortrix,677,97.4,14.4,0,0,0,0
Anilius scytale,725,25.2,9.3,0,0,0,0
Calabaria reinhardtii,694.8,56.9,12.8,0,1.8,0,0.8
Candoia carinata,526.2,88.8,14.4,0,1,0,0.4
Casarea dussumieri,496,187,8.2,0,0,0,0
Causus maculatus,486.8,37.6,10.8,0,0,0,0
Cereberus rhynchops,482.9,122.6,8.7,0,0,0,0
Charina bottae,406.8,53.8,8.2,0,0.6,0,0.6
Chondropython viridis,938.5,177.5,21.7,0,1.1,0,0.8
Cylindrophis maculatus,322.7,6.3,5.1,0,0,0,0
Elaphe guttata,771,145.6,12.7,0,0,0,0
Epicrates striatus,1213.6,240,22.6,0,3.9,0,1
Eryx johni,635.4,80.6,13.4,0,0.9,0,0.6
Exiliboa plicata,360.3,55.3,6,0,1.4,0,1
Farancia abacura,931,123,11.6,0,0,0,0
Leptotyphlops humilis,232.3,11.3,2.4,0,0,0,0
Loxocemus bicolor,595.3,72.2,10.5,0,0.7,0,0.8
Micrurus fulvius,673.2,79.9,8,0,0,0,0
Nerodia sipedon,555.5,175.3,12.3,0,0,0,0
Pareas kuangtungensis,438.3,127.2,7.4,0,0,0,0
Trachyboa boulengeri,287,32.7,6.8,0,0.4,0,0.2
Tropidophis haitianus,385.2,53.6,7.4,0,1.1,0,0.8
Typhlops angolensis,403.9,7.5,6.2,0,0,0,0
Ungaliophis continentalis,458.1,60.5,7.7,0,1.5,0,0.5
Uropeltis ceylonicus,266.4,13.2,5,0,0,0,0
Xenopeltis unicolor,611.1,68.5,11.9,0,0,0,0
Shinisaurus crocodiluris,135.5,162,18.5,40.7,48.9,5,5
Sphenodon punctatus,216.7,206.1,36.4,62.9,87,5,5
Ameiva ameiva,191.3,400.1,36.4,61.4,123.2,5,5
Aspidoscelis sexlineatus,63.9,140.8,11,20.7,41.8,5,5
Dicrodon guttulatum,120.1,273.3,21.4,40.1,82.5,5,5
Teius teyou,115.6,247.3,19.2,34.4,72.4,5,4
Varanus griseus,303.5,355.3,37.1,73.9,90.4,5,5
Lepidophyma flavimaculatum,85.7,122.9,10.8,26.3,34.7,5,5
Xantusia vigilis,39.7,48.5,5,10.1,14,5,5
Xenosaurus grandis,100.5,90.3,14.9,30.7,37.8,5,5